"","CKU1","CKU3","CKU4","CKU5","CKU2","CLU1","CLU2","CLU3","CLU4","CLU5","JPU1","JPU2","JPU3","JPU4","JPU5","MHU1","MHU2","MHU3","MHU4","MHU5","YMU1","YMU2","YMU3","YMU4","YMU5"
"OTU128.p:Alveolata-Ciliophora.g:Sterkiella",0,3,2,6,2,0,8,4,3,7,6,1,16,0,1,19,10,8,18,0,0,0,1,1,0
"OTU129.p:Stramenopiles-Gyrista.g:Pythium",0,0,0,0,0,2,3,0,0,0,6,2,3,2,6,0,2,1,0,3,2,2,1,1,6
"OTU130.p:Alveolata-Apicomplexa.g:Cyclospora",1,2,2,0,0,0,0,0,2,0,4,1,0,226,0,1,0,0,0,0,1,3,3,0,2
"OTU132.p:Chlorophyta-Chlorophyta_X.g:Deasonia",0,1,5,2,5,2,3,4,0,3,0,0,3,0,4,4,6,11,6,16,2,2,2,3,0
"OTU135.p:Streptophyta-Streptophyta_X.g:Streptophyta_XXXXX",2,2,5,1,1,0,2,6,0,1,0,2,0,0,4,1,1,1,1,3,0,1,0,0,0
"OTU136.p:Rhizaria-Cercozoa.g:Flectomonas",16,10,2,12,7,11,8,11,7,12,4,9,12,2,9,4,16,10,13,4,7,3,3,2,9
"OTU139.p:Rhodophyta-Rhodophyta_X.g:Cyanidiales_XX",1,0,2,1,1,0,1,2,1,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0
"OTU141.p:Alveolata-Ciliophora.g:Colpoda",0,0,1,0,6,4,3,3,7,20,4,6,12,2,7,1,0,0,1,1,2,0,14,5,2
"OTU142.p:Evosea-Evosea_X.g:Acramoebidae_X",3,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU143.p:Alveolata-Ciliophora.g:Platyophrya",6,7,6,10,14,9,8,9,13,11,7,10,10,1,4,6,9,9,1,5,23,17,20,3,1
"OTU145.p:Evosea-Evosea_X.g:ATCC50593-lineage_X",2,1,2,2,3,2,1,2,2,3,2,2,1,0,8,8,5,1,2,2,5,4,6,4,19
"OTU147.p:Chlorophyta-Chlorophyta_X.g:Actinochloris",1,2,1,0,0,0,0,0,1,1,1,4,3,1,0,13,18,18,5,15,0,1,0,1,0
"OTU149.p:Stramenopiles-Gyrista.g:Pythium",2,10,0,2,5,3,7,6,8,3,3,5,9,4,5,6,3,6,19,3,8,3,9,10,9
"OTU150.p:Stramenopiles-Gyrista.g:Ochromonadales_clade-XIII_X",0,2,5,0,1,5,0,1,1,1,3,4,3,0,2,16,18,2,2,1,2,3,0,2,1
"OTU151.p:Evosea-Evosea_X.g:AND16-lineage_X",1,1,2,0,0,1,1,1,3,2,0,0,0,2,1,2,1,0,0,0,6,1,1,0,0
"OTU152.p:Evosea-Evosea_X.g:Variosea_XXX",4,7,4,0,0,2,5,3,4,3,2,3,12,3,9,6,1,2,0,9,4,1,2,2,2
"OTU155.p:Stramenopiles-Gyrista.g:Hyphochytrium",5,2,0,1,6,2,1,3,0,3,3,2,8,91,1,1,0,2,2,1,16,5,1,4,11
"OTU157.p:Evosea-Evosea_X.g:Ischnamoeba",4,6,0,9,4,6,1,4,6,6,4,6,6,0,2,2,10,1,6,0,2,5,8,7,4
"OTU158.p:Rhizaria-Cercozoa.g:Eocercomonas",2,4,1,8,2,3,2,5,4,4,5,2,2,1,3,3,5,1,4,2,2,7,2,8,16
"OTU159.p:Tubulinea-Tubulinea_X.g:Nolandellidae_X",2,1,2,2,0,3,2,3,0,0,0,1,0,1,1,4,5,6,6,2,8,9,0,1,22
"OTU160.p:Stramenopiles-Gyrista.g:Rhizidiomyces",0,4,0,0,3,0,1,2,0,5,1,2,2,62,4,4,6,10,6,3,2,2,2,0,0
"OTU161.p:Evosea-Evosea_X.g:Flamella-lineage_X",2,2,0,1,1,5,5,1,0,5,0,0,1,2,3,3,10,11,4,8,3,2,0,1,10
"OTU162.p:Rhizaria-Cercozoa.g:Rhogostoma",6,13,3,5,9,2,1,4,1,10,2,2,7,1,10,12,9,9,7,16,4,13,7,7,17
"OTU164.p:Evosea-Evosea_X.g:Variosea_XXX",1,3,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU165.p:Alveolata-Ciliophora.g:Colpodida_X",1,4,2,1,1,2,2,0,2,2,0,0,0,1,4,0,3,2,0,5,7,0,8,2,4
"OTU166.p:Alveolata-Ciliophora.g:Ichthyophthirius",0,0,0,0,0,0,0,0,4,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0
"OTU167.p:Tubulinea-Tubulinea_X.g:Copromyxa",2,0,1,4,1,1,1,0,1,3,5,1,1,0,0,1,1,0,0,3,0,8,11,2,14
"OTU169.p:Chlorophyta-Chlorophyta_X.g:Neochlorosarcina",1,1,2,1,3,5,0,2,3,6,0,1,0,0,5,22,3,3,9,11,3,0,0,1,0
"OTU171.p:Evosea-Evosea_X.g:WIM80-lineage_X",0,1,2,1,1,0,1,4,1,9,2,4,1,3,0,1,0,1,1,1,10,1,4,0,0
"OTU174.p:Evosea-Eumycetozoa.g:Dictyostelium-Group-IV",0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
"OTU175.p:Tubulinea-Tubulinea_X.g:Nolandellidae_X",1,1,0,1,2,2,0,1,2,4,2,0,1,4,1,8,5,4,5,3,6,16,4,20,14
"OTU176.p:Evosea-Evosea_X.g:AND16-lineage_X",2,0,0,0,5,0,0,2,1,2,0,3,3,0,1,1,2,1,0,3,0,0,2,0,0
"OTU177.p:Rhizaria-Cercozoa.g:Glissomonadida_Clade-Y_X",0,1,0,1,0,1,0,0,4,0,0,0,0,1,1,2,0,0,0,2,0,0,0,1,0
"OTU179.p:Stramenopiles-Gyrista.g:Characiopsis",1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0
"OTU182.p:Evosea-Evosea_X.g:Flamella",0,3,4,1,5,3,1,2,2,2,2,0,1,0,4,0,0,3,0,0,4,5,2,5,13
