"","CKU1","CKU3","CKU4","CKU5","CKU2","CLU1","CLU2","CLU3","CLU4","CLU5","JPU1","JPU2","JPU3","JPU4","JPU5","MHU1","MHU2","MHU3","MHU4","MHU5","YMU1","YMU2","YMU3","YMU4","YMU5"
"OTU126.p__Ascomycota.g__Phaeosphaeriaceae_gen_Incertae_sedis",2,0,1,0,2,0,0,0,0,0,0,0,2,2,0,12,0,0,3,0,0,3,0,0,1
"OTU127.p__Ascomycota.g__Extremaceae_gen_Incertae_sedis",4,54,2,1,2,2,1,95,2,3,1,57,2,0,42,0,73,2,0,0,39,0,0,0,0
"OTU128.p__Chytridiomycota.g__Chytridiomycota_gen_Incertae_sedis",2,0,0,0,1,1,0,1,4,5,1,0,0,2,0,1,0,0,176,0,0,0,0,0,1
"OTU129.p__Basidiomycota.g__Saitozyma",0,0,0,16,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU130.p__Basidiomycota.g__Tricholomataceae_gen_Incertae_sedis",1,0,1,0,476,0,368,0,0,1,81,4,2,654,1,1,0,0,1,0,0,1,2,0,40
"OTU131.p__Ascomycota.g__Bionectriaceae_gen_Incertae_sedis",0,0,0,0,52,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"OTU132.p__Ascomycota.g__Lectera",0,0,2,0,0,0,0,5,3,28,22,0,6,2,6,0,8,0,0,0,7,0,0,0,0
"OTU133.p__Basidiomycota.g__Occultifur",6,1,0,2,2,1,4,0,9,6,1,6,0,0,0,1,0,13,0,1,0,47,10,11,75
"OTU134.p__Basidiomycota.g__Hannaella",1,0,0,0,0,0,3,0,1,0,5,11,0,0,5,0,1,0,0,0,4,0,0,0,0
"OTU135.p__Ascomycota.g__Emericellopsis",3,1,13,14,3,0,0,0,2,0,1,0,4,0,3,0,0,0,1,0,0,0,0,5,0
"OTU136.p__Basidiomycota.g__Saitozyma",716,86,1,457,148,112,298,14,93,0,285,4,753,0,9,0,8,0,0,0,5,0,2,0,0
"OTU137.p__Ascomycota.g__Stachylidium",0,0,3,0,0,1,1,0,1,1,1,2,1,0,0,0,0,1,2,0,0,1,13,150,3
"OTU138.p__Basidiomycota.g__Auriculariales_gen_Incertae_sedis",4,0,7,5,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU139.p__Ascomycota.g__Natantispora",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
"OTU140.p__Ascomycota.g__Fusarium",2,0,0,1,5,0,1,0,2,16,1,1,1,0,0,54,1,12,8,140,0,20,5,14,4
"OTU141.p__Ascomycota.g__Fusarium",2,0,0,0,17,0,5,0,9,3,4,0,2,1,0,1,1,3,3,1,0,1,0,0,0
"OTU142.p__Ascomycota.g__Sordariales_gen_Incertae_sedis",0,0,0,0,0,9,18,0,2,6,0,0,8,0,0,0,1,0,1,0,1,0,0,0,0
"OTU143.p__Ascomycota.g__Plectosphaerellaceae_gen_Incertae_sedis",22,0,14,1,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"OTU144.p__Ascomycota.g__Pseudorobillarda",0,0,6,0,1,0,0,0,8,0,0,2,11,1,0,0,0,0,0,0,0,0,0,0,0
"OTU145.p__Chytridiomycota.g__Spizellomycetales_gen_Incertae_sedis",1,0,4,1,1,0,0,0,3,0,5,0,3,0,0,0,0,0,4,1,0,0,2,1,1
"OTU146.p__Ascomycota.g__Trichoderma",0,0,0,1,4,3,4,3,0,6,6,10,5,4,2,5,5,5,1,7,1,1,0,4,5
"OTU147.p__Ascomycota.g__Paraphoma",0,0,3,0,26,0,0,0,0,5,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"OTU148.p__Ascomycota.g__Chaetomium",0,0,4,7,6,0,0,0,6,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"OTU149.p__Ascomycota.g__Fusarium",1,0,0,4,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU150.p__Ascomycota.g__Chaetomium",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU151.p__Ascomycota.g__Pezizales_gen_Incertae_sedis",2,0,35,0,18,0,0,0,3,1,0,0,3,3,0,3,0,0,18,0,0,0,0,0,0
"OTU152.p__Ascomycota.g__Fusarium",1,0,5,3,3,0,3,0,7,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1
"OTU153.p__Chytridiomycota.g__Betamyces",0,0,2,0,7,1,1,0,0,1,0,0,0,3,0,24,0,19,4,62,1,0,1,1,1
"OTU154.p__Ascomycota.g__Ascomycota_gen_Incertae_sedis",4,4,3,6,19,0,11,3,10,10,7,1,7,1,2,12,1,8,19,4,4,14,123,45,8
"OTU155.p__Ascomycota.g__Xylariales_gen_Incertae_sedis",0,0,2,2,2,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU156.p__Ascomycota.g__Phialophora",1,0,0,0,3,27,2,0,2,2,1,1,0,1,0,0,0,0,0,0,1,2,4,0,0
"OTU157.p__Chytridiomycota.g__Ulkenomyces",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
