OTU ID	CKB1	CKB2	CKB3	CKB4	CKB5	CKB6	CKB7	CKB8	CKJ1	CKJ10	CKJ2	CKJ3	CKJ4	CKJ5	CKJ6	CKJ7	CKJ8	CKJ9	CKU1	CKU2	CKU3	CKU4	CKU5	CKU6	CKU7	CKU8	CKY1	CKY2	CKY3	CKY4	CKY5	CLU1	CLU2	CLU3	CLU4	CLU5	DDH1	DDH2	DDH3	DDL2	DDL22	DDL3	DDL4	DDN1	DDN2	DDN3	DDN4	DDN5	GLH1	GLH2	GLH3	GLL2	GLL3	GLL4	GLN1	GLN2	GLN3	GLN4	GLN5	JPU1	JPU2	JPU3	JPU4	JPU5	MHU1	MHU2	MHU3	MHU4	MHU5	TGH1	TGH2	TGH3	TGL2	TGL3	TGL4	TJH1	TJH2	TJH3	TJL2	TJL3	TJL4	TJN1	TJN2	TJN3	TJN4	TJN5	YMH1	YMH2	YMH3	YML2	YML3	YML4	YMN1	YMN2	YMN3	YMN4	YMN5	YMU1	YMU2	YMU3	YMU4	YMU5
OTU413	0	1	0	1	0	0	0	1	29	0	1	0	6	13	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	5	0	0	0	720	0	0	106	12	87	2	0	0	0	1	0	9	0	16	69	21	9	11	1	0	0	0	0	0	2	0	1	0	2	2	0	0	9	10	2	0	0	3	0	8	63	0	13	0	0	7	1	0	12	0	0	12	0	0	1	4	0	0	0	0	1
OTU414	0	0	0	3	0	0	1	2	5	0	0	1	14	9	0	0	0	0	1	0	0	0	0	0	3	0	0	3	28	1	0	0	0	0	1	0	1	0	0	0	6	24	1	0	3	2	0	0	0	576	0	2	13	1	0	0	16	7	2	0	0	0	0	0	0	0	0	0	7	14	21	1	46	212	0	0	1	7	118	0	35	2	1	4	5	8	193	66	1	24	0	2	5	5	0	7	1	0	0	0	0	0
OTU415	0	4	0	0	0	0	0	2	0	0	5	3	9	11	0	0	2	0	0	0	0	12	0	0	0	0	0	1	0	0	0	0	1	0	0	0	330	44	10	0	5	0	0	0	1	1	0	0	1	0	0	1	11	4	0	0	59	2	3	0	0	0	0	0	0	0	0	0	0	8	0	28	0	25	0	45	118	487	1	4	5	3	6	0	0	0	0	0	5	14	0	3	1	0	0	3	0	0	0	0	0	0
OTU416	1	5	0	0	0	0	0	1	41	0	6	1	3	7	0	0	0	0	3	0	0	0	0	1	0	0	0	14	3	12	0	0	0	0	2	0	1	0	26	0	8	7	9	0	3	3	103	4	13	6	19	5	7	4	5	12	26	7	13	12	0	0	0	1	8	0	0	3	0	61	10	25	5	34	2	35	41	51	14	1	3	377	8	0	5	1	26	29	25	58	3	10	7	11	3	2	0	0	3	0	2	4
OTU417	0	3	1	1	0	5	0	1	2	0	0	0	17	22	0	0	0	0	0	0	5	2	0	1	1	0	26	112	11	149	45	0	0	3	12	0	46	22	53	0	14	32	27	17	52	31	178	14	27	64	16	10	35	24	23	28	32	17	11	0	0	0	0	1	19	4	18	31	36	9	3	45	38	30	4	48	5	23	32	0	8	31	25	25	5	0	5	8	9	71	3	4	3	25	2	12	51	5	100	53	23	54
OTU418	90	0	0	0	0	0	2	4	1	0	2	1	20	14	0	0	0	0	0	0	4	0	0	0	0	0	0	10	1	1	0	0	0	0	4	2	2	1	0	0	1	0	232	1	0	4	5	2	4	1	0	5	15	159	0	34	41	11	22	1	3	0	0	1	57	0	14	19	189	0	3	2	13	11	2	1	0	0	0	0	26	98	5	0	0	2	0	0	7	36	1	696	84	7	31	5	14	2	8	0	35	0
OTU419	0	1	0	0	0	0	0	0	0	3	0	0	3	6	0	0	0	0	0	0	0	1	0	0	0	0	3	3	4	2	1	0	3	56	0	0	0	0	1	1	0	3	0	57	119	38	21	5	4	0	0	1	22	1	18	596	16	96	2	0	0	0	0	0	33	11	10	2	23	5	2	6	67	11	1	0	2	2	0	0	1	0	3	9	1	7	0	0	0	6	1	0	20	6	1	19	6	1	43	0	41	0
OTU42	16	21	0	8	1	0	10	8	4	1	13	5	102	120	1	0	0	2	0	0	37	1	3	2	9	6	10	1050	12	1420	211	9	15	39	11	111	21	3	19	0	378	19	1495	221	439	510	260	4469	50	271	10	59	167	16	489	388	1042	172	678	1	29	1	3	21	257	14	314	134	60	35	9	22	51	1151	5	12	11	16	507	9	57	50	1653	48	248	78	13	19	65	196	4	204	243	116	547	1228	698	19	244	995	1413	100
OTU420	0	2	0	1	1	0	0	0	3	0	11	0	2	5	0	0	0	0	0	0	2	0	0	0	0	1	2	20	1	9	0	0	0	0	2	1	9	9	21	0	38	11	26	0	13	1	1	0	1	19	10	68	48	2	5	0	15	6	3	1	0	0	0	0	0	0	2	2	2	40	18	43	35	25	7	8	427	8	85	6	22	6	21	2	0	3	14	15	25	39	6	5	6	16	0	2	3	0	0	0	1	0
OTU421	0	5	0	0	0	0	0	0	1	0	0	1	11	2	0	0	0	0	5	0	0	0	0	0	0	0	0	7	1	0	2	0	0	13	0	0	2	0	0	0	3	131	1	4	5	491	1	19	0	0	1	11	10	0	7	13	71	18	5	0	0	0	0	2	0	0	1	0	0	2	0	0	26	149	200	0	0	1	0	0	21	18	2	4	28	0	1	0	3	3	11	0	4	73	0	3	2	2	4	0	0	0
